id,class
006F8606F6,12
00C22FC0EA,3
00CECD2708,4
0125D1C6C3,4
0158CDF991,3
01693B60FE,14
019AE1E661,7
01F03AFBFF,1
025D0E8105,2
030D460C87,3
0336FA0322,1
03FA0DF389,4
05835748A6,14
063C98F745,4
0665427E82,1
067AB43185,1
06C1A5D7F1,4
0835E0E6D8,10
08E1BA4B4B,2
09AC166B64,1
0A658E0936,1
0B450FA67F,3
0B5840229C,2
0B6830EE15,4
0B82408803,3
0BC06803FF,4
0CFF03FCC1,3
0E774B0EFE,1
0F1AF32C93,3
0F81941C18,3
107A44BC9B,4
11417923C1,3
11806D76AD,4
11DCA97731,2
128B157A7C,13
129970B6FE,2
130ACCD7F4,2
131DA4962D,3
13F52C4859,0
13F90261D1,3
153F77E255,1
169A298863,4
17643935EA,1
176CB0DE95,3
17905A3861,3
179DB57CE2,4
182DF51AF2,2
19885F0860,4
1989FCD6FD,4
1C702E88FB,4
1C7CAA6675,1
1D1A5C997D,2
1D435D2349,12
1D5632D249,4
1D7CC17833,2
1EF5FCF7BB,1
1F17AF4D18,1
1F74D6608F,2
226D535F81,4
22913884E4,2
22FABFA5B6,8
23ABA5AC47,3
245B736A2A,2
26CF244858,2
27C5695794,1
27CF23AB3C,0
2801F95BCD,4
2973205547,1
299878E723,1
29B9DC6F6A,2
29EC8E2C3E,2
2A593B6732,4
2B4377BC32,2
2B9A1CC814,1
2C500069BC,3
2C5D892869,2
2C5DAF4812,1
2D3D9A3F59,10
2E0B6E1A37,4
2F1E75AAD9,4
2F4B0CE443,3
30B1181054,1
31EA573B60,2
322681980E,2
32A1FDCCA5,4
3363E12CE8,2
36063E5BF3,1
369B636E2F,4
3773AAE60F,1
3787598C28,4
37BF313921,14
37CB8284E5,1
37E43239D9,3
3916F48FD9,4
39D563929F,13
39F36CD5CE,4
3A3A747A61,13
3B8478E1DC,1
3BB7D6834C,7
3C59DD40ED,4
3CE105CDCE,4
3D441D0702,4
3DAF13E671,4
3DF65C56B4,1
3E50C93D7D,1
3F018BA17C,3
3FF56F59D3,3
40366589C4,1
40AE4430D5,1
40F9EB7B00,4
40FD801394,12
416D521441,7
4296D798EE,8
4318710884,4
434941CB07,8
43A15DDE89,1
45C81E37B6,3
45D7BB6117,1
464A300EE0,4
46A3A23476,4
46F41217A1,1
46F586838F,4
4765841B3C,1
4943D43A89,3
49F1057AEC,4
49F34C8361,1
4AE404D189,7
4BA7ADB747,0
4BE6DFF18B,0
4C01D73073,4
4CA2009524,4
4D4BC8FBBC,4
4DD6718F6F,0
4DE7B7E5C9,2
4E264727D7,4
4F8DE26892,4
5086F1BCE6,4
50DE07F13F,3
5119433930,4
5138BADA49,4
521E693C46,4
52A9CD0385,4
53196A08B7,1
538CFE6771,4
5423C4446B,4
54DF054859,1
54F09F43B3,4
5535C96638,4
555F8536D8,3
561D588A9C,4
56283D543A,4
56A4659066,2
57134D9B71,10
573A0A9653,1
589C273545,4
58F41EE5BC,1
59DB41383B,2
5A10112C9B,1
5A408C6649,7
5C47D38531,1
5D24B9F7C4,2
5D8FC85BC6,0
5E03575727,3
5E586D29BD,1
5EBC1122F9,4
5F255A0964,4
6029B72300,1
6172FAF0DD,1
61B0E5C347,4
61F0DA5DF2,10
6247D7FCC7,4
62F7D4467D,1
63785071BD,3
6405326438,1
64F2DDA0AA,10
657F18C6AE,4
65BF2008F2,1
665B409AA0,1
6662BC3C54,1
66A1C2B33C,2
670514AFCC,3
68D0518F1D,3
695507C638,4
697C12FB69,4
6A2AF78282,3
6AB9C58C18,4
6C6AA226F1,8
6C946CC20B,4
6D0424D6E6,1
6D32029E0C,2
6D55955B1A,9
6D78411036,4
6DA96CC726,12
6E953384B2,4
6E962DAF7F,8
6E9F7168A6,3
6EC0AE705C,4
6F359C960F,3
6FB0E4EF88,3
6FEA832874,3
6FF97D0750,10
7000E8FB61,12
7042FD42EA,4
70BBCCA162,4
717E305DBA,4
730049E065,3
7300FE105D,3
7309305DB4,1
7344C88005,1
7350B1E247,4
759E1034C2,1
75FAA1BA1B,7
767EC89E7B,1
769AC28420,4
76AAF99B64,4
77B14A7C59,14
78328F7B5A,1
79238F26A6,0
796805FC8D,4
798013C730,2
7B0702E9FD,1
7B1861BDDA,4
7B8E172B66,2
7C3A14C530,3
7D0026F72E,4
7EE4993750,4
7F0F326EA2,4
7F181EDA25,1
808B09916A,2
81A37EC9AC,1
81BEE1F0DE,4
84353EE4DB,3
844427FE89,4
84B0E2153E,1
84BFE30019,4
864875FBBE,3
86B9F51B85,2
8722663F31,4
87A4969FED,3
87D160DF61,4
883538D253,2
88DE9A0DA4,3
896F257E36,1
89BB0929A5,3
89BD0A4EF1,3
89F11A1583,1
8A1BE95669,4
8B0CB98C5C,10
8C15F15BFE,1
8C3961969E,3
8C920CE63A,14
8CA573420D,2
8D4A3BB275,3
8D647EED28,7
8E4CB88CC5,1
8E5CC39832,10
8E8DBF8BCF,3
911995A7BB,3
933DD144D6,4
93AC3DA7A9,1
943EEFB9B6,4
944B3EC9DB,1
9480733643,4
94CFFD34C6,1
958E1D13DE,3
95A9B0E62F,1
95CA6CE44E,1
95E877744F,3
97C33A960F,4
987B12DA46,1
98B0A29127,3
98C927CF89,4
98DFCDCDF5,4
995C7B8D1E,3
99A4217569,7
9B1927E112,3
9B563E666C,4
9CC0364979,3
9E93633EC5,2
9F74FBB693,3
A044294D03,10
A06E7B2B3D,1
A2FBBCE882,1
A33867A445,4
A383435481,4
A43A8BE8B0,1
A450FE11D5,3
A465E89804,4
A4E04413DD,3
A5822E30CE,4
A595081686,1
A772C33ACC,1
A850C101B5,4
A9143FD0AE,9
AB001A03CC,3
ABA2AB52B9,1
AC9452A124,4
AD228F7669,1
AEC487159E,4
AFE75C7A36,4
B0885A6B6A,13
B17256020C,1
B32DC55C9C,3
B35961761D,4
B3764C086C,3
